split,scope,regime,economic_label,risk_order,n_blocks,mean_duration_trading_days,median_duration_trading_days,max_duration_trading_days,min_duration_trading_days,total_obs,frequency_pct
MAIN,TRAIN_FILTERED,0,Low Risk,1,136,15.051470588235293,4.0,273,1,2047,0.38813045127038304
MAIN,TRAIN_FILTERED,2,Medium Risk,2,204,12.656862745098039,4.0,99,1,2582,0.4895714827455442
MAIN,TRAIN_FILTERED,1,High Risk,3,68,9.485294117647058,4.5,70,1,645,0.1222980659840728
MAIN,FULL_FILTERED,0,Low Risk,1,172,17.25,4.0,273,1,2967,0.4464339452302137
MAIN,FULL_FILTERED,2,Medium Risk,2,246,12.199186991869919,4.0,99,1,3001,0.45154980439362025
MAIN,FULL_FILTERED,1,High Risk,3,75,9.04,4.0,70,1,678,0.10201625037616611
ROBUST,TRAIN_FILTERED,0,Low Risk,1,135,14.777777777777779,4.0,272,1,1995,0.3976479968108431
ROBUST,TRAIN_FILTERED,1,Medium Risk,2,189,12.777777777777779,5.0,99,1,2415,0.48136336456049433
ROBUST,TRAIN_FILTERED,2,High Risk,3,55,11.036363636363637,6.0,73,1,607,0.12098863862866255
ROBUST,FULL_FILTERED,0,Low Risk,1,179,16.491620111731844,4.0,272,1,2952,0.44417694854047546
ROBUST,FULL_FILTERED,1,Medium Risk,2,246,12.05691056910569,4.5,99,1,2966,0.44628347878423114
ROBUST,FULL_FILTERED,2,High Risk,3,68,10.705882352941176,6.0,73,1,728,0.1095395726752934
